layer,mapfile,wmslaag
scholieren_verkiezingen_2006_2kamer_cu,verkiezingen.map,scholieren_verkiezingen_2006_2kamer_cu
scholieren_verkiezingen_2006_2kamer_d66,verkiezingen.map,scholieren_verkiezingen_2006_2kamer_d66
scholieren_verkiezingen_2006_2kamer_pvdd,verkiezingen.map,scholieren_verkiezingen_2006_2kamer_pvdd
scholieren_verkiezingen_2006_2kamer_sgp,verkiezingen.map,scholieren_verkiezingen_2006_2kamer_sgp
suriname_districten,suriname.map,suriname_districten
suriname_bestuursressorten,suriname.map,suriname_bestuursressorten
suriname_dorpen,suriname.map,suriname_dorpen
suriname_dorpen_5000,suriname.map,suriname_dorpen_5000
suriname_ebg_scholen,suriname.map,suriname_ebg_scholen
suriname_brokopondo,suriname.map,suriname_brokopondo
suriname_greenstone_belt,suriname.map,suriname_greenstone_belt
suriname_plantages,suriname.map,suriname_plantages
suriname_hoofdrivieren,suriname.map,suriname_hoofdrivieren
suriname_bijrivieren,suriname.map,suriname_bijrivieren
suriname_bestaande_wegen,suriname.map,suriname_bestaande_wegen
suriname_voorgestelde_wegen,suriname.map,suriname_voorgestelde_wegen
suriname_hoogte,suriname.map,suriname_hoogte
suriname_mining_goud_2009,suriname.map,suriname_mining_goud_2009
suriname_mining_bauxiet_1988,suriname.map,suriname_mining_bauxiet_1988
suriname_mining_bauxiet_2009,suriname.map,suriname_mining_bauxiet_2009
suriname_mining_porknokker_2009,suriname.map,suriname_mining_porknokker_2009
suriname_mining_goud_1988,suriname.map,suriname_mining_goud_1988
suriname_mining_hout_1988,suriname.map,suriname_mining_hout_1988
suriname_mining_hout_2009,suriname.map,suriname_mining_hout_2009
suriname_mining_hout_2009_hernoemd,suriname.map,suriname_mining_hout_2009_hernoemd
suriname_protected_areas,suriname.map,suriname_protected_areas
suriname_landuse_2011,suriname.map,suriname_landuse_2011
suriname_landuse_2025,suriname.map,suriname_landuse_2025
suriname_geschiktheid_bebouwing,suriname.map,suriname_geschiktheid_bebouwing
suriname_bereikbaarheid_2011,suriname.map,suriname_bereikbaarheid_2011
suriname_bereikbaarheid_2025,suriname.map,suriname_bereikbaarheid_2025
suriname_biodiversiteit,suriname.map,suriname_biodiversiteit
athene_01,athene.map,athene_01
athene_02,athene.map,athene_02
athene_03,athene.map,athene_03
athene_04,athene.map,athene_04
piraeus_01,athene.map,piraeus_01
landschappen,landschappen.map,landschappen
deellandschappen,landschappen.map,deellandschappen
beschermde_natuurmonumenten,gebieden_speciale_status.map,beschermde_natuurmonumenten
nationale_landschappen,gebieden_speciale_status.map,nationale_landschappen
nationale_parken,gebieden_speciale_status.map,nationale_parken
natura2000,gebieden_speciale_status.map,natura2000
wetlands,gebieden_speciale_status.map,wetlands
geologische_overzichtskaart,geologie.map,geologische_overzichtskaart
cbs_bodemgebruik_2010,cbs_bodemgebruik.map,cbs_bodemgebruik_2010
cbs_bodemgebruik_2008,cbs_bodemgebruik.map,cbs_bodemgebruik_2008
cbs_bodemgebruik_2006,cbs_bodemgebruik.map,cbs_bodemgebruik_2006
cbs_bodemgebruik_2003,cbs_bodemgebruik.map,cbs_bodemgebruik_2003
cbs_bodemgebruik_2000,cbs_bodemgebruik.map,cbs_bodemgebruik_2000
cbs_bodemgebruik_1996,cbs_bodemgebruik.map,cbs_bodemgebruik_1996
verkiezingen_2010_2kamer_opkomst,verkiezingen_2010.map,verkiezingen_2010_2kamer_opkomst
verkiezingen_2010_2kamer_grootste_partij,verkiezingen_2010.map,verkiezingen_2010_2kamer_grootste_partij
verkiezingen_2010_2kamer_cda,verkiezingen_2010.map,verkiezingen_2010_2kamer_cda
verkiezingen_2010_2kamer_pvda,verkiezingen_2010.map,verkiezingen_2010_2kamer_pvda
verkiezingen_2010_2kamer_sp,verkiezingen_2010.map,verkiezingen_2010_2kamer_sp
verkiezingen_2010_2kamer_vvd,verkiezingen_2010.map,verkiezingen_2010_2kamer_vvd
verkiezingen_2010_2kamer_pvv,verkiezingen_2010.map,verkiezingen_2010_2kamer_pvv
verkiezingen_2010_2kamer_groenlinks,verkiezingen_2010.map,verkiezingen_2010_2kamer_groenlinks
verkiezingen_2010_2kamer_cu,verkiezingen_2010.map,verkiezingen_2010_2kamer_cu
verkiezingen_2010_2kamer_d66,verkiezingen_2010.map,verkiezingen_2010_2kamer_d66
verkiezingen_2010_2kamer_pvdd,verkiezingen_2010.map,verkiezingen_2010_2kamer_pvdd
verkiezingen_2010_2kamer_sgp,verkiezingen_2010.map,verkiezingen_2010_2kamer_sgp
scholieren_verkiezingen_2010_2kamer_grootste_partij,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_grootste_partij
scholieren_verkiezingen_2010_2kamer_cda,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_cda
scholieren_verkiezingen_2010_2kamer_pvda,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_pvda
scholieren_verkiezingen_2010_2kamer_sp,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_sp
scholieren_verkiezingen_2010_2kamer_vvd,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_vvd
scholieren_verkiezingen_2010_2kamer_pvv,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_pvv
scholieren_verkiezingen_2010_2kamer_groenlinks,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_groenlinks
scholieren_verkiezingen_2010_2kamer_cu,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_cu
scholieren_verkiezingen_2010_2kamer_d66,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_d66
scholieren_verkiezingen_2010_2kamer_pvdd,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_pvdd
scholieren_verkiezingen_2010_2kamer_sgp,verkiezingen_2010.map,scholieren_verkiezingen_2010_2kamer_sgp
verandering_verkiezingen_2006_2010_2kamer_opkomst,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_opkomst
verandering_verkiezingen_2006_2010_2kamer_vvd,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_vvd
verandering_verkiezingen_2006_2010_2kamer_pvda,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_pvda
verandering_verkiezingen_2006_2010_2kamer_pvv,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_pvv
verandering_verkiezingen_2006_2010_2kamer_cda,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_cda
verandering_verkiezingen_2006_2010_2kamer_sp,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_sp
verandering_verkiezingen_2006_2010_2kamer_d66,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_d66
verandering_verkiezingen_2006_2010_2kamer_groenlinks,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_groenlinks
verandering_verkiezingen_2006_2010_2kamer_cu,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_cu
verandering_verkiezingen_2006_2010_2kamer_sgp,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_sgp
verandering_verkiezingen_2006_2010_2kamer_pvdd,verkiezingen_2010.map,verandering_verkiezingen_2006_2010_2kamer_pvdd
verkiezingen_2012_2kamer_opkomst,verkiezingen_2012.map,verkiezingen_2012_2kamer_opkomst
verkiezingen_2012_2kamer_grootste_partij,verkiezingen_2012.map,verkiezingen_2012_2kamer_grootste_partij
verkiezingen_2012_2kamer_cda,verkiezingen_2012.map,verkiezingen_2012_2kamer_cda
verkiezingen_2012_2kamer_pvda,verkiezingen_2012.map,verkiezingen_2012_2kamer_pvda
verkiezingen_2012_2kamer_sp,verkiezingen_2012.map,verkiezingen_2012_2kamer_sp
verkiezingen_2012_2kamer_vvd,verkiezingen_2012.map,verkiezingen_2012_2kamer_vvd
verkiezingen_2012_2kamer_pvv,verkiezingen_2012.map,verkiezingen_2012_2kamer_pvv
verkiezingen_2012_2kamer_groenlinks,verkiezingen_2012.map,verkiezingen_2012_2kamer_groenlinks
verkiezingen_2012_2kamer_cu,verkiezingen_2012.map,verkiezingen_2012_2kamer_cu
verkiezingen_2012_2kamer_d66,verkiezingen_2012.map,verkiezingen_2012_2kamer_d66
verkiezingen_2012_2kamer_pvdd,verkiezingen_2012.map,verkiezingen_2012_2kamer_pvdd
verkiezingen_2012_2kamer_sgp,verkiezingen_2012.map,verkiezingen_2012_2kamer_sgp
verkiezingen_2012_2kamer_50plus,verkiezingen_2012.map,verkiezingen_2012_2kamer_50plus
scholieren_verkiezingen_2012_2kamer_grootste_partij,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_grootste_partij
scholieren_verkiezingen_2012_2kamer_cda,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_cda
scholieren_verkiezingen_2012_2kamer_pvda,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_pvda
scholieren_verkiezingen_2012_2kamer_sp,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_sp
scholieren_verkiezingen_2012_2kamer_vvd,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_vvd
scholieren_verkiezingen_2012_2kamer_pvv,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_pvv
scholieren_verkiezingen_2012_2kamer_groenlinks,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_groenlinks
scholieren_verkiezingen_2012_2kamer_cu,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_cu
scholieren_verkiezingen_2012_2kamer_d66,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_d66
scholieren_verkiezingen_2012_2kamer_pvdd,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_pvdd
scholieren_verkiezingen_2012_2kamer_sgp,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_sgp
scholieren_verkiezingen_2012_2kamer_50plus,verkiezingen_2012.map,scholieren_verkiezingen_2012_2kamer_50plus
verandering_verkiezingen_2010_2012_2kamer_opkomst,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_opkomst
verandering_verkiezingen_2010_2012_2kamer_vvd,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_vvd
verandering_verkiezingen_2010_2012_2kamer_pvda,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_pvda
verandering_verkiezingen_2010_2012_2kamer_pvv,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_pvv
verandering_verkiezingen_2010_2012_2kamer_cda,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_cda
verandering_verkiezingen_2010_2012_2kamer_sp,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_sp
verandering_verkiezingen_2010_2012_2kamer_d66,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_d66
verandering_verkiezingen_2010_2012_2kamer_groenlinks,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_groenlinks
verandering_verkiezingen_2010_2012_2kamer_cu,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_cu
verandering_verkiezingen_2010_2012_2kamer_sgp,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_sgp
verandering_verkiezingen_2010_2012_2kamer_pvdd,verkiezingen_2012.map,verandering_verkiezingen_2010_2012_2kamer_pvdd
china_provincie_bbp_2006,china.map,china_provincie_bbp_2006
china_provincie_bbp_2009,china.map,china_provincie_bbp_2009
china_provincie_migratie_2003,china.map,china_provincie_migratie_2003
china_provincie_import_export_2006,china.map,china_provincie_import_export_2006
china_provincie_bevolking_2006,china.map,china_provincie_bevolking_2006
china_provincie_bevolkingsdichtheid_2006,china.map,china_provincie_bevolkingsdichtheid_2006
china_steden,china.map,china_steden
china_speciale_economische_zone,china.map,china_speciale_economische_zone
china_wereld_handel_2009,china.map,china_wereld_handel_2009
china_wereld_export_2009,china.map,china_wereld_export_2009
china_afrika_handel_2006,china.map,china_afrika_handel_2006
china_afrika_investeringen_2005,china.map,china_afrika_investeringen_2005
wereld_gdp_percapita_constant_2000_2008,wereld_welvaart.map,wereld_gdp_percapita_constant_2000_2008
wereld_miljardairs_per_land_2007,wereld_welvaart.map,wereld_miljardairs_per_land_2007
wereld_miljardairs_per_land_2006,wereld_welvaart.map,wereld_miljardairs_per_land_2006
wereld_miljardairs_per_land_2005,wereld_welvaart.map,wereld_miljardairs_per_land_2005
wereld_miljardairs_per_land_2004,wereld_welvaart.map,wereld_miljardairs_per_land_2004
wereld_co2_per_land_2006,wereld_milieu.map,wereld_co2_per_land_2006
wereld_co2_per_land_2000,wereld_milieu.map,wereld_co2_per_land_2000
wereld_co2_per_land_1990,wereld_milieu.map,wereld_co2_per_land_1990
wereld_co2_per_land_1980,wereld_milieu.map,wereld_co2_per_land_1980
wereld_co2_per_land_1970,wereld_milieu.map,wereld_co2_per_land_1970
wereld_co2_per_land_1960,wereld_milieu.map,wereld_co2_per_land_1960
top10_containers_havens_2008,wereld_transport.map,top10_containers_havens_2008
wereld_teu_per_land_2008,wereld_transport.map,wereld_teu_per_land_2008
wereld_teu_per_land_2000,wereld_transport.map,wereld_teu_per_land_2000
wereld_motorvoertuigen_per_1000_per_land,wereld_transport.map,wereld_motorvoertuigen_per_1000_per_land
levensverwachting_in_jaren_2003,wereld_gezondheid.map,levensverwachting_in_jaren_2003
levensverwachting_vrouwen_in_jaren_2003,wereld_gezondheid.map,levensverwachting_vrouwen_in_jaren_2003
levensverwachting_mannen_in_jaren_2003,wereld_gezondheid.map,levensverwachting_mannen_in_jaren_2003
provincies_inwoneraantal_1988,provincies_inwoners.map,provincies_inwoneraantal_1988
provincies_inwoneraantal_2009,provincies_inwoners.map,provincies_inwoneraantal_2009
provincies_inwoneraantal_2025,provincies_inwoners.map,provincies_inwoneraantal_2025
gemeenten_bouwjaar_gemiddelde,bag_aggregaties.map,gemeenten_bouwjaar_gemiddelde
wijken_bouwjaar_gemiddelde,bag_aggregaties.map,wijken_bouwjaar_gemiddelde
buurten_bouwjaar_gemiddelde,bag_aggregaties.map,buurten_bouwjaar_gemiddelde
gemeenten_bouwjaar_meest_voorkomend,bag_aggregaties.map,gemeenten_bouwjaar_meest_voorkomend
wijken_bouwjaar_meest_voorkomend,bag_aggregaties.map,wijken_bouwjaar_meest_voorkomend
buurten_bouwjaar_meest_voorkomend,bag_aggregaties.map,buurten_bouwjaar_meest_voorkomend
dfa_roads,deforestaction.map,dfa_roads
dfa_rivers,deforestaction.map,dfa_rivers
dfa_threatlevel,deforestaction.map,dfa_threatlevel
dfa_palmrubber,deforestaction.map,dfa_palmrubber
dfa_forestandpeat,deforestaction.map,dfa_forestandpeat
ibag,bag.map,panden
ibag2,ibag.map,panden
iahn,dnahn.map,hoogtes
noordzee_platforms,noordzee.map,noordzee_platforms
noordzee_wrakken,noordzee.map,noordzee_wrakken
noordzee_nap_20,noordzee.map,noordzee_nap_20
noordzee_electra_telecom_kabels,noordzee.map,noordzee_electra_telecom_kabels
noordzee_leidingen,noordzee.map,noordzee_leidingen
noordzee_windparken_turbines,noordzee.map,noordzee_windparken_turbines
noordzee_grens_cp,noordzee.map,noordzee_grens_cp
noordzee_vss_zones,noordzee.map,noordzee_vss_zones
noordzee_wingebieden,noordzee.map,noordzee_wingebieden
noordzee_militair,noordzee.map,noordzee_militair
noordzee_bijzondere_ecologische_waarde,noordzee.map,noordzee_bijzondere_ecologische_waarde
noordzee_diepte,noordzee.map,noordzee_diepte
noordzee_vaargeulen_ncp,noordzee.map,noordzee_vaargeulen_ncp
noordzee_hoogte_kust_2011,noordzee.map,noordzee_hoogte_kust_2011
noordzee_hoogte_kust2_2011,noordzee.map,noordzee_hoogte_kust2_2011
bioscopen_open,bioscopen.map,bioscopen_open
bioscopen_closed,bioscopen.map,bioscopen_closed
bioscopen_1910,bioscopen.map,bioscopen_1910
bioscopen_1920,bioscopen.map,bioscopen_1920
bioscopen_1930,bioscopen.map,bioscopen_1930
bioscopen_1940,bioscopen.map,bioscopen_1940
bioscopen_1950,bioscopen.map,bioscopen_1950
bioscopen_1960,bioscopen.map,bioscopen_1960
bioscopen_1970,bioscopen.map,bioscopen_1970
bioscopen_1980,bioscopen.map,bioscopen_1980
bioscopen_1990,bioscopen.map,bioscopen_1990
bioscopen_2000,bioscopen.map,bioscopen_2000
bioscopen_2010,bioscopen.map,bioscopen_2010
nkn_natuur_vlak,nkn.map,nkn_natuur_vlak
nkn_agrarisch_vlak,nkn.map,nkn_agrarisch_vlak
nkn_recreatie_vlak,nkn.map,nkn_recreatie_vlak
nkn_voorziening_vlak,nkn.map,nkn_voorziening_vlak
nkn_gemengd_vlak,nkn.map,nkn_gemengd_vlak
nkn_werken_vlak,nkn.map,nkn_werken_vlak
nkn_wonen_vlak,nkn.map,nkn_wonen_vlak
nkn_infrastructuur_vlak,nkn.map,nkn_infrastructuur_vlak
nkn_water_vlak,nkn.map,nkn_water_vlak
nkn_alles_vlak,nkn.map,nkn_alles_vlak
nkn_alles_lijn,nkn.map,nkn_alles_lijn
ov_haltes,voorzieningen_ov.map,ov_haltes
bag_to_ov,voorzieningen_ov.map,bag_to_ov
bag_to_treinstation,voorzieningen_ov.map,bag_to_treinstation
voorzieningen_basis_onderwijs,voorzieningen_onderwijs.map,voorzieningen_basis_onderwijs
bag_to_basisschool,voorzieningen_onderwijs.map,bag_to_basisschool
voorzieningen_speciaal_onderwijs_4_12,voorzieningen_onderwijs.map,voorzieningen_speciaal_onderwijs_4_12
bag_to_speciaal_onderwijs_4_12,voorzieningen_onderwijs.map,bag_to_speciaal_onderwijs_4_12
voorzieningen_voortgezet_onderwijs_brugklas,voorzieningen_onderwijs.map,voorzieningen_voortgezet_onderwijs_brugklas
bag_to_brugjaar,voorzieningen_onderwijs.map,bag_to_brugjaar
voorzieningen_voortgezet_onderwijs_vmbo,voorzieningen_onderwijs.map,voorzieningen_voortgezet_onderwijs_vmbo
bag_to_vmbo,voorzieningen_onderwijs.map,bag_to_vmbo
voorzieningen_voortgezet_onderwijs_havo_vwo,voorzieningen_onderwijs.map,voorzieningen_voortgezet_onderwijs_havo_vwo
bag_to_havo_vwo,voorzieningen_onderwijs.map,bag_to_havo_vwo
voorzieningen_speciaal_onderwijs_13_20,voorzieningen_onderwijs.map,voorzieningen_speciaal_onderwijs_13_20
bag_to_speciaal_onderwijs_13_20,voorzieningen_onderwijs.map,bag_to_speciaal_onderwijs_13_20
voorzieningen_bso_kinderdagverblijf,voorzieningen_bso.map,voorzieningen_bso_kinderdagverblijf
voorzieningen_bso_peuterspeelzaal,voorzieningen_bso.map,voorzieningen_bso_peuterspeelzaal
voorzieningen_bso_buitenschoolse_opvang,voorzieningen_bso.map,voorzieningen_bso_buitenschoolse_opvang
voorzieningen_zorg_gezondheid,voorzieningen_zorg.map,voorzieningen_zorg_gezondheid
voorzieningen_zorg_bejaardenoorden,voorzieningen_zorg.map,voorzieningen_zorg_bejaardenoorden
voorzieningen_zorg_niet_zelfredzamen,voorzieningen_zorg.map,voorzieningen_zorg_niet_zelfredzamen